SALE TYPE,SOLD DATE,PROPERTY.TYPE,ADDRESS,CITY,STATE.OR.PROVINCE,ZIP.OR.POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5616 Traveller Dr,North Richland Hills,TX,76180,379495,3,2,Iron Horse Commons,2170,4356,2020,16,175,120,Active,,,14391689,N,Y,32.848172,-97.241385
MLS Listing,,Single Family Residential,6788 Moccasin Dr,Plano,TX,75023,295000,3,2.5,Russell Creek Ph III,1897,4356,1987,18,156,33,Active,,,14401349,N,Y,33.0681584,-96.7153054
MLS Listing,,Vacant Land,5901 Laila Dr,Parker,TX,75002,175000,0,,Reserve At Southridge,,43560,,40,,60,Active,,,14382820,N,Y,33.065513,-96.617512
MLS Listing,,Single Family Residential,4007 Rosser Sq,Dallas,TX,75244,315000,3,2.5,Rosser Village Rev,1439,4356,1981,32,219,133,Active,,,14381993,N,Y,32.9213491,-96.8463858
MLS Listing,,Single Family Residential,5621 Traveller,North Richland Hills,TX,76180,331700,3,2,Iron Horse Commons,1650,4356,2020,34,201,120,Active,,,14387276,N,Y,32.848267,-97.241873
MLS Listing,,Single Family Residential,5617 Traveller Dr,North Richland Hills,TX,76180,323685,3,2,Iron Horse Commons,1550,4356,2020,34,209,120,Active,,,14387204,N,Y,32.84819,-97.241929
MLS Listing,,Single Family Residential,6142 Jereme Trl,Dallas,TX,75252,315000,3,2.5,Stellar Court,2002,4356,1986,38,157,94,Active,,,14384749,N,Y,33.0027297,-96.7997368
MLS Listing,,Single Family Residential,4005 Cinnabar Falls Way,Arlington,TX,76005,460000,4,3.5,Viridian Village 1b,3125,4356,2015,39,147,82,Active,,,14384000,N,Y,32.800266,-97.0892026
MLS Listing,,Single Family Residential,2807 Vista Azul Pl #2807,Mansfield,TX,76063,379977,2,2,Ladera Mansfield Condos,1792,4356,2016,45,212,335,Active,,,14379704,N,Y,32.6070543,-97.107997
MLS Listing,,Single Family Residential,1132 Piedmont Ln,Richardson,TX,75080,530000,4,3.5,Savoy Landing,3135,4356,2014,46,169,150,Active,,,14379646,N,Y,32.9821766,-96.7590809
MLS Listing,,Single Family Residential,9809 Crest Meadow Dr,Dallas,TX,75230,750000,6,4,Crestline Meadow Estates,3949,4312,1967,1,190,,Active,,,14414442,N,Y,32.880851,-96.783862
MLS Listing,,Multi-Family (2-4 Unit),628 W 9th St,Dallas,TX,75208,575000,4,2,Dallas Land & Loan 03,4572,9583,1930,41,126,,Active,,,14382734,N,Y,32.746049,-96.8334409
MLS Listing,,Single Family Residential,1605 Silver Marten Trl,Arlington,TX,76005,377622,4,2.5,Viridian,2117,4312,2020,4,178,83,Active,,,14412420,N,Y,32.79401,-97.083271
MLS Listing,,Condo/Co-op,770 N Plano Rd #201,Richardson,TX,75081,374900,2,2.5,Residences on Duck Creek,1868,,2019,41,201,290,Active,,,14381977,N,Y,32.9581882,-96.6997988
